date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2016-05-03,100000.0,0.0,1.0,100000.0,1.0,100000.0
2016-05-04,100048.926,0.0,1.0,100048.926,1.000489,100000.0
2016-05-05,100537.851,0.0,1.0,100537.851,1.005379,100000.0
2016-05-06,100386.812,0.0,1.005,100386.812,1.003868,100000.0
2016-05-09,100365.766,0.0,1.004,100365.766,1.003658,100000.0
2016-05-10,100044.811,0.0,1.004,100044.811,1.000448,100000.0
2016-05-11,100044.811,0.0,1.0,100044.811,1.000448,100000.0
2016-05-12,100373.841,0.0,1.0,100373.841,1.003738,100000.0
2016-05-13,100373.841,0.0,1.004,100373.841,1.003738,100000.0
2016-05-16,100121.996,0.0,1.004,100121.996,1.00122,100000.0
2016-05-17,99981.065,0.0,1.001,99981.065,0.999811,100000.0
2016-05-18,100480.11,0.0,1.0,100480.11,1.004801,100000.0
2016-05-19,100569.186,0.0,1.005,100569.186,1.005692,100000.0
2016-05-20,100428.258,0.0,1.006,100428.258,1.004283,100000.0
2016-05-23,100647.373,0.0,1.004,100647.373,1.006474,100000.0
2016-05-24,100566.497,0.0,1.006,100566.497,1.005665,100000.0
2016-05-25,100566.497,0.0,1.006,100566.497,1.005665,100000.0
2016-05-26,100435.622,0.0,1.006,100435.622,1.004356,100000.0
2016-05-27,100113.838,0.0,1.004,100113.838,1.001138,100000.0
2016-05-30,100113.838,0.0,1.001,100113.838,1.001138,100000.0
2016-05-31,100402.936,0.0,1.001,100402.936,1.004029,100000.0
2016-06-01,100372.057,0.0,1.004,100372.057,1.003721,100000.0
2016-06-02,100130.301,0.0,1.004,100130.301,1.001303,100000.0
2016-06-03,100130.301,0.0,1.001,100130.301,1.001303,100000.0
2016-06-06,100029.402,0.0,1.001,100029.402,1.000294,100000.0
2016-06-07,100168.461,0.0,1.0,100168.461,1.001685,100000.0
2016-06-08,100007.535,0.0,1.002,100007.535,1.000075,100000.0
2016-06-13,99835.601,0.0,1.0,99835.601,0.998356,100000.0
2016-06-14,99835.601,0.0,0.998,99835.601,0.998356,100000.0
2016-06-15,99874.67,0.0,0.998,99874.67,0.998747,100000.0
2016-06-16,99773.731,0.0,0.999,99773.731,0.997737,100000.0
2016-06-17,99602.804,0.0,0.998,99602.804,0.996028,100000.0
2016-06-20,99451.869,0.0,0.996,99451.869,0.994519,100000.0
2016-06-21,99220.941,0.0,0.995,99220.941,0.992209,100000.0
2016-06-22,99059.041,0.0,0.992,99059.041,0.99059,100000.0
2016-06-23,99058.077,0.0,0.991,99058.077,0.990581,100000.0
2016-06-24,98967.108,0.0,0.991,98967.108,0.989671,100000.0
2016-06-27,98755.161,0.0,0.99,98755.161,0.987552,100000.0
2016-06-28,98834.138,0.0,0.988,98834.138,0.988341,100000.0
2016-06-29,98713.119,0.0,0.988,98713.119,0.987131,100000.0
2016-06-30,98592.071,0.0,0.987,98592.071,0.985921,100000.0
2016-07-01,98411.017,0.0,0.986,98411.017,0.98411,100000.0
2016-07-04,98178.865,0.0,0.984,98178.865,0.981789,100000.0
2016-07-05,98178.865,0.0,0.982,98178.865,0.981789,100000.0
2016-07-06,98607.775,0.0,0.982,98607.775,0.986078,100000.0
2016-07-07,98416.701,0.0,0.986,98416.701,0.984167,100000.0
2016-07-08,98265.617,0.0,0.984,98265.617,0.982656,100000.0
2016-07-11,98784.504,0.0,0.983,98784.504,0.987845,100000.0
2016-07-12,98482.252,0.0,0.988,98482.252,0.984823,100000.0
2016-07-13,99081.09,0.0,0.985,99081.09,0.990811,100000.0
2016-07-14,99049.955,0.0,0.991,99049.955,0.9905,100000.0
2016-07-15,98747.683,0.0,0.99,98747.683,0.987477,100000.0
2016-07-18,98747.683,0.0,0.987,98747.683,0.987477,100000.0
2016-07-19,98747.683,0.0,0.987,98747.683,0.987477,100000.0
2016-07-20,98876.638,0.0,0.987,98876.638,0.988766,100000.0
2016-07-21,98783.466,0.0,0.989,98783.466,0.987835,100000.0
2016-07-22,98783.466,0.0,0.988,98783.466,0.987835,100000.0
2016-07-25,98431.387,0.0,0.988,98431.387,0.984314,100000.0
2016-07-26,98119.28,0.0,0.984,98119.28,0.981193,100000.0
2016-07-27,97827.112,0.0,0.981,97827.112,0.978271,100000.0
2016-07-28,97576.017,0.0,0.978,97576.017,0.97576,100000.0
2016-07-29,97576.017,0.0,0.976,97576.017,0.97576,100000.0
2016-08-01,97133.815,0.0,0.976,97133.815,0.971338,100000.0
2016-08-02,96972.686,0.0,0.971,96972.686,0.969727,100000.0
2016-08-03,96851.564,0.0,0.97,96851.564,0.968516,100000.0
2016-08-04,97149.326,0.0,0.969,97149.326,0.971493,100000.0
2016-08-05,96868.194,0.0,0.971,96868.194,0.968682,100000.0
2016-08-08,96767.049,0.0,0.969,96767.049,0.96767,100000.0
2016-08-09,97215.88,0.0,0.968,97215.88,0.972159,100000.0
2016-08-10,97164.711,0.0,0.972,97164.711,0.971647,100000.0
2016-08-11,97023.552,0.0,0.972,97023.552,0.970236,100000.0
2016-08-12,97052.391,0.0,0.97,97052.391,0.970524,100000.0
2016-08-15,97130.084,0.0,0.971,97130.084,0.971301,100000.0
2016-08-16,96928.917,0.0,0.971,96928.917,0.969289,100000.0
2016-08-17,96928.917,0.0,0.969,96928.917,0.969289,100000.0
2016-08-18,96847.761,0.0,0.969,96847.761,0.968478,100000.0
2016-08-19,96725.47,0.0,0.968,96725.47,0.967255,100000.0
2016-08-22,97093.142,0.0,0.967,97093.142,0.970931,100000.0
2016-08-23,96981.984,0.0,0.971,96981.984,0.96982,100000.0
2016-08-24,97340.806,0.0,0.97,97340.806,0.973408,100000.0
2016-08-25,97809.631,0.0,0.973,97809.631,0.978096,100000.0
2016-08-26,98118.492,0.0,0.978,98118.492,0.981185,100000.0
2016-08-29,98118.492,0.0,0.981,98118.492,0.981185,100000.0
2016-08-30,98387.374,0.0,0.981,98387.374,0.983874,100000.0
2016-08-31,98716.282,0.0,0.984,98716.282,0.987163,100000.0
2016-09-01,98624.126,0.0,0.987,98624.126,0.986241,100000.0
2016-09-02,98503.045,0.0,0.986,98503.045,0.98503,100000.0
2016-09-05,98731.939,0.0,0.985,98731.939,0.987319,100000.0
2016-09-06,98610.842,0.0,0.987,98610.842,0.986108,100000.0
2016-09-07,98610.842,0.0,0.986,98610.842,0.986108,100000.0
2016-09-08,98448.734,0.0,0.986,98448.734,0.984487,100000.0
2016-09-09,98307.69,0.0,0.984,98307.69,0.983077,100000.0
2016-09-12,98307.69,0.0,0.983,98307.69,0.983077,100000.0
2016-09-13,98536.658,0.0,0.983,98536.658,0.985367,100000.0
2016-09-14,98415.64,0.0,0.985,98415.64,0.984156,100000.0
2016-09-19,98415.64,0.0,0.984,98415.64,0.984156,100000.0
2016-09-20,98254.622,0.0,0.984,98254.622,0.982546,100000.0
2016-09-21,98254.622,0.0,0.983,98254.622,0.982546,100000.0
2016-09-22,98254.622,0.0,0.983,98254.622,0.982546,100000.0
2016-09-23,98193.586,0.0,0.983,98193.586,0.981936,100000.0
2016-09-26,98062.544,0.0,0.982,98062.544,0.980625,100000.0
2016-09-27,98011.524,0.0,0.981,98011.524,0.980115,100000.0
2016-09-28,97839.476,0.0,0.98,97839.476,0.978395,100000.0
2016-09-29,97788.443,0.0,0.978,97788.443,0.977884,100000.0
2016-09-30,98097.415,0.0,0.978,98097.415,0.980974,100000.0
2016-10-10,97956.41,0.0,0.981,97956.41,0.979564,100000.0
2016-10-11,97956.41,0.0,0.98,97956.41,0.979564,100000.0
2016-10-12,97734.309,0.0,0.98,97734.309,0.977343,100000.0
2016-10-13,97734.309,0.0,0.977,97734.309,0.977343,100000.0
2016-10-14,97903.221,0.0,0.977,97903.221,0.979032,100000.0
2016-10-17,97891.027,0.0,0.979,97891.027,0.97891,100000.0
2016-10-18,97789.941,0.0,0.979,97789.941,0.977899,100000.0
2016-10-19,98467.695,0.0,0.978,98467.695,0.984677,100000.0
2016-10-20,98286.583,0.0,0.985,98286.583,0.982866,100000.0
2016-10-21,98145.473,0.0,0.983,98145.473,0.981455,100000.0
2016-10-24,97972.138,0.0,0.981,97972.138,0.979721,100000.0
2016-10-25,97839.847,0.0,0.98,97839.847,0.978398,100000.0
2016-10-26,98378.682,0.0,0.978,98378.682,0.983787,100000.0
2016-10-27,98378.682,0.0,0.984,98378.682,0.983787,100000.0
2016-10-28,98016.391,0.0,0.984,98016.391,0.980164,100000.0
2016-10-31,98134.054,0.0,0.98,98134.054,0.981341,100000.0
2016-11-01,97992.877,0.0,0.981,97992.877,0.979929,100000.0
2016-11-02,98461.679,0.0,0.98,98461.679,0.984617,100000.0
2016-11-03,98199.296,0.0,0.985,98199.296,0.981993,100000.0
2016-11-04,98199.296,0.0,0.982,98199.296,0.981993,100000.0
2016-11-07,96441.01,-28890.0,0.982,97885.51,0.978855,100000.0
2016-11-08,98572.892,0.0,0.979,98572.892,0.985729,100000.0
2016-11-09,98251.592,0.0,0.986,98251.592,0.982516,100000.0
2016-11-10,99170.208,0.0,0.983,99170.208,0.991702,100000.0
2016-11-11,98437.462,0.0,0.992,98437.462,0.984375,100000.0
2016-11-14,100476.028,0.0,0.984,100476.028,1.00476,100000.0
2016-11-15,100476.028,0.0,1.005,100476.028,1.00476,100000.0
2016-11-16,100476.028,0.0,1.005,100476.028,1.00476,100000.0
2016-11-17,100324.769,0.0,1.005,100324.769,1.003248,100000.0
2016-11-18,101292.238,0.0,1.003,101292.238,1.012922,100000.0
2016-11-21,100931.019,0.0,1.013,100931.019,1.00931,100000.0
2016-11-22,100599.78,0.0,1.009,100599.78,1.005998,100000.0
2016-11-23,100438.459,0.0,1.006,100438.459,1.004385,100000.0
2016-11-24,99957.136,0.0,1.004,99957.136,0.999571,100000.0
2016-11-25,99755.787,0.0,1.0,99755.787,0.997558,100000.0
2016-11-28,99284.355,0.0,0.998,99284.355,0.992844,100000.0
2016-11-29,99284.355,0.0,0.993,99284.355,0.992844,100000.0
2016-11-30,99284.355,0.0,0.993,99284.355,0.992844,100000.0
2016-12-01,98742.933,0.0,0.993,98742.933,0.987429,100000.0
2016-12-02,99971.506,0.0,0.987,99971.506,0.999715,100000.0
2016-12-05,99428.701,0.0,1.0,99428.701,0.994287,100000.0
2016-12-06,99467.25,0.0,0.994,99467.25,0.994673,100000.0
2016-12-07,99245.783,0.0,0.995,99245.783,0.992458,100000.0
2016-12-08,98904.278,0.0,0.992,98904.278,0.989043,100000.0
2016-12-09,100102.763,0.0,0.989,100102.763,1.001028,100000.0
2016-12-12,100669.681,0.0,1.001,100669.681,1.006697,100000.0
2016-12-13,100468.118,0.0,1.007,100468.118,1.004681,100000.0
2016-12-14,101455.015,0.0,1.005,101455.015,1.01455,100000.0
2016-12-15,101421.953,0.0,1.015,101421.953,1.01422,100000.0
2016-12-16,102120.422,0.0,1.014,102120.422,1.021204,100000.0
2016-12-19,102120.422,0.0,1.021,102120.422,1.021204,100000.0
2016-12-20,101838.999,0.0,1.021,101838.999,1.01839,100000.0
2016-12-21,102156.139,0.0,1.018,102156.139,1.021561,100000.0
2016-12-22,102156.139,0.0,1.022,102156.139,1.021561,100000.0
2016-12-23,102156.139,0.0,1.022,102156.139,1.021561,100000.0
2016-12-26,102383.473,0.0,1.022,102383.473,1.023835,100000.0
2016-12-27,101990.84,0.0,1.024,101990.84,1.019908,100000.0
2016-12-28,101990.84,0.0,1.02,101990.84,1.019908,100000.0
2016-12-29,102169.504,0.0,1.02,102169.504,1.021695,100000.0
2016-12-30,102778.168,0.0,1.022,102778.168,1.027782,100000.0
2017-01-03,103776.838,0.0,1.028,103776.838,1.037768,100000.0
2017-01-04,103394.223,0.0,1.038,103394.223,1.033942,100000.0
2017-01-05,103092.9,0.0,1.034,103092.9,1.030929,100000.0
2017-01-06,102990.256,0.0,1.031,102990.256,1.029903,100000.0
2017-01-09,102477.578,0.0,1.03,102477.578,1.024776,100000.0
2017-01-10,102006.18,0.0,1.025,102006.18,1.020062,100000.0
2017-01-11,101884.748,0.0,1.02,101884.748,1.018847,100000.0
2017-01-12,101793.302,0.0,1.019,101793.302,1.017933,100000.0
2017-01-13,102221.847,0.0,1.018,102221.847,1.022218,100000.0
2017-01-16,101638.92,0.0,1.022,101638.92,1.016389,100000.0
2017-01-17,101967.425,0.0,1.016,101967.425,1.019674,100000.0
2017-01-18,101545.941,0.0,1.02,101545.941,1.015459,100000.0
