,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
0,0.05,0.2,0.05,-0.046,0.019,-1.744,0.049,-2.603,-3.689,95485.275,0.027,1334,0.955,0.027,0.228
1,0.05,0.3,0.05,-0.042,0.02,-1.361,0.048,-2.092,-3.244,95834.82,0.031,1318,0.958,0.031,0.185
2,0.05,0.4,0.05,-0.03,0.02,-0.853,0.047,-1.516,-2.573,97072.96,0.034,1286,0.971,0.034,0.17
3,0.05,0.5,0.05,-0.041,0.021,-1.133,0.055,-1.765,-3.045,95964.588,0.036,1266,0.96,0.036,0.158
4,0.15,0.2,0.05,-0.019,0.031,-0.436,0.038,-0.967,-1.337,98071.982,0.043,1260,0.981,0.043,0.429
5,0.15,0.3,0.05,0.006,0.033,0.154,0.048,-0.326,-0.468,100617.15,0.047,1204,1.006,0.047,0.362
6,0.15,0.4,0.05,0.026,0.037,0.494,0.042,0.071,0.104,102525.437,0.054,1156,1.025,0.054,0.337
7,0.15,0.5,0.05,0.034,0.037,0.623,0.053,0.216,0.325,103358.646,0.056,1118,1.034,0.056,0.318
8,0.25,0.2,0.05,0.032,0.035,0.666,0.041,0.207,0.297,103209.294,0.05,1184,1.032,0.05,0.546
9,0.25,0.3,0.05,0.035,0.037,0.659,0.06,0.238,0.345,103453.578,0.054,1098,1.035,0.054,0.464
10,0.25,0.4,0.05,0.034,0.043,0.573,0.06,0.202,0.29,103357.293,0.061,1042,1.034,0.061,0.428
11,0.25,0.5,0.05,0.03,0.044,0.488,0.069,0.131,0.191,102932.039,0.064,988,1.029,0.064,0.403
12,0.35,0.2,0.05,0.053,0.038,0.988,0.03,0.559,0.792,105196.373,0.053,1106,1.052,0.053,0.608
13,0.35,0.3,0.05,0.05,0.041,0.859,0.039,0.467,0.667,104904.168,0.058,1012,1.049,0.058,0.526
14,0.35,0.4,0.05,0.053,0.047,0.817,0.044,0.472,0.665,105262.001,0.066,950,1.053,0.066,0.493
15,0.35,0.5,0.05,0.039,0.049,0.584,0.052,0.254,0.361,103835.737,0.069,898,1.038,0.069,0.468
