,_para_k_sl,_para_k_tp,_para_range_k,annualized_returns,downside_risk,information_ratio,max_drawdown,sharpe,sortino,total_value,tracking_error,trades,unit_net_value,volatility,win_rate
0,0.05,0.2,0.05,0.035,0.017,1.125,0.023,0.389,0.698,103467.46,0.031,1324,1.035,0.031,0.724
1,0.05,0.3,0.05,0.025,0.019,0.694,0.031,0.078,0.149,102509.734,0.037,1290,1.025,0.037,0.786
2,0.05,0.4,0.05,-0.009,0.02,-0.233,0.036,-0.843,-1.559,99073.406,0.037,1270,0.991,0.037,0.806
3,0.05,0.5,0.05,-0.0,0.021,0.011,0.053,-0.526,-1.067,99959.062,0.042,1260,1.0,0.042,0.819
4,0.15,0.2,0.05,0.01,0.029,0.232,0.037,-0.266,-0.413,100954.285,0.046,1260,1.01,0.046,0.554
5,0.15,0.3,0.05,-0.01,0.032,-0.171,0.041,-0.617,-0.97,99010.721,0.051,1184,0.99,0.051,0.639
6,0.15,0.4,0.05,-0.043,0.035,-0.776,0.055,-1.199,-1.827,95793.499,0.054,1132,0.958,0.054,0.68
7,0.15,0.5,0.05,-0.042,0.036,-0.715,0.067,-1.109,-1.757,95829.709,0.058,1102,0.958,0.058,0.706
8,0.25,0.2,0.05,-0.017,0.039,-0.296,0.071,-0.715,-1.006,98271.591,0.054,1198,0.983,0.054,0.456
9,0.25,0.3,0.05,-0.003,0.041,-0.022,0.06,-0.406,-0.595,99694.047,0.059,1110,0.997,0.059,0.526
10,0.25,0.4,0.05,-0.031,0.043,-0.484,0.065,-0.854,-1.229,96901.344,0.062,1034,0.969,0.062,0.574
11,0.25,0.5,0.05,-0.031,0.044,-0.448,0.064,-0.798,-1.181,96943.571,0.065,994,0.969,0.065,0.596
12,0.35,0.2,0.05,-0.024,0.042,-0.378,0.084,-0.759,-1.081,97609.204,0.06,1136,0.976,0.06,0.414
13,0.35,0.3,0.05,-0.028,0.045,-0.392,0.073,-0.737,-1.072,97257.047,0.066,1038,0.973,0.066,0.487
14,0.35,0.4,0.05,-0.056,0.048,-0.793,0.09,-1.124,-1.622,94506.45,0.069,960,0.945,0.069,0.54
15,0.35,0.5,0.05,-0.052,0.049,-0.703,0.087,-1.019,-1.502,94845.927,0.072,924,0.948,0.072,0.554
16,0.45,0.2,0.05,-0.066,0.048,-1.004,0.098,-1.352,-1.833,93487.345,0.066,1090,0.935,0.066,0.404
17,0.45,0.3,0.05,-0.073,0.052,-1.02,0.098,-1.338,-1.847,92779.588,0.072,984,0.928,0.072,0.476
18,0.45,0.4,0.05,-0.082,0.054,-1.109,0.114,-1.415,-1.968,91873.604,0.075,916,0.919,0.075,0.528
19,0.45,0.5,0.05,-0.082,0.055,-1.057,0.107,-1.35,-1.911,91901.963,0.078,882,0.919,0.078,0.542
20,0.05,0.2,0.1,0.006,0.016,0.209,0.021,-0.596,-1.035,100548.685,0.028,1226,1.005,0.028,0.742
21,0.05,0.3,0.1,-0.005,0.018,-0.158,0.03,-0.896,-1.549,99469.037,0.031,1194,0.995,0.031,0.791
22,0.05,0.4,0.1,-0.021,0.019,-0.571,0.041,-1.202,-2.259,97912.911,0.036,1172,0.979,0.036,0.814
23,0.05,0.5,0.1,-0.031,0.02,-0.797,0.045,-1.383,-2.728,96898.929,0.039,1162,0.969,0.039,0.83
24,0.15,0.2,0.1,0.023,0.027,0.547,0.03,0.017,0.028,102268.614,0.043,1172,1.023,0.043,0.549
25,0.15,0.3,0.1,-0.004,0.032,-0.065,0.038,-0.531,-0.824,99565.826,0.049,1114,0.996,0.049,0.634
26,0.15,0.4,0.1,0.009,0.033,0.208,0.045,-0.24,-0.376,100924.971,0.051,1066,1.009,0.051,0.662
27,0.15,0.5,0.1,-0.002,0.033,-0.007,0.054,-0.433,-0.7,99820.835,0.053,1038,0.998,0.053,0.682
28,0.25,0.2,0.1,0.014,0.034,0.303,0.041,-0.154,-0.227,101384.808,0.05,1098,1.014,0.05,0.454
29,0.25,0.3,0.1,0.004,0.038,0.09,0.041,-0.298,-0.457,100352.831,0.059,1020,1.004,0.059,0.524
30,0.25,0.4,0.1,0.005,0.04,0.117,0.039,-0.249,-0.387,100534.439,0.062,966,1.005,0.062,0.559
31,0.25,0.5,0.1,-0.018,0.041,-0.24,0.051,-0.586,-0.935,98237.777,0.066,926,0.982,0.066,0.587
32,0.35,0.2,0.1,-0.001,0.037,0.013,0.057,-0.422,-0.598,99931.222,0.052,1036,0.999,0.052,0.405
33,0.35,0.3,0.1,0.001,0.041,0.04,0.049,-0.334,-0.501,100060.33,0.061,956,1.001,0.061,0.475
34,0.35,0.4,0.1,0.015,0.042,0.257,0.044,-0.096,-0.146,101451.067,0.065,904,1.015,0.065,0.509
35,0.35,0.5,0.1,0.019,0.043,0.307,0.049,-0.027,-0.043,101866.293,0.068,862,1.019,0.068,0.531
36,0.45,0.2,0.1,-0.05,0.046,-0.833,0.093,-1.216,-1.586,95021.872,0.06,1004,0.95,0.06,0.386
37,0.45,0.3,0.1,-0.052,0.049,-0.75,0.089,-1.086,-1.495,94856.243,0.068,916,0.949,0.068,0.461
38,0.45,0.4,0.1,-0.041,0.051,-0.545,0.086,-0.865,-1.214,95975.818,0.071,866,0.96,0.071,0.497
39,0.45,0.5,0.1,-0.03,0.05,-0.371,0.079,-0.678,-0.999,97038.693,0.074,828,0.97,0.074,0.517
40,0.05,0.2,0.15,-0.015,0.015,-0.636,0.054,-1.628,-2.551,98533.553,0.023,976,0.985,0.023,0.723
41,0.05,0.3,0.15,-0.034,0.016,-1.358,0.072,-2.268,-3.619,96651.433,0.025,962,0.967,0.025,0.778
42,0.05,0.4,0.15,-0.039,0.016,-1.543,0.069,-2.445,-3.932,96173.249,0.025,944,0.962,0.025,0.792
43,0.05,0.5,0.15,-0.023,0.016,-0.793,0.059,-1.59,-2.88,97736.11,0.029,938,0.977,0.029,0.797
44,0.15,0.2,0.15,-0.032,0.026,-0.916,0.054,-1.571,-2.13,96827.988,0.035,944,0.968,0.035,0.57
45,0.15,0.3,0.15,-0.063,0.03,-1.585,0.087,-2.146,-2.933,93736.914,0.041,912,0.937,0.041,0.649
46,0.15,0.4,0.15,-0.044,0.03,-1.033,0.076,-1.569,-2.237,95658.867,0.042,878,0.957,0.042,0.67
47,0.15,0.5,0.15,-0.012,0.029,-0.245,0.051,-0.743,-1.159,98790.422,0.046,858,0.988,0.046,0.681
48,0.25,0.2,0.15,-0.016,0.03,-0.383,0.045,-0.946,-1.274,98392.314,0.04,904,0.984,0.04,0.467
49,0.25,0.3,0.15,-0.027,0.034,-0.53,0.06,-0.995,-1.436,97338.731,0.049,860,0.973,0.049,0.542
50,0.25,0.4,0.15,0.007,0.034,0.164,0.041,-0.284,-0.429,100701.413,0.051,822,1.007,0.051,0.56
51,0.25,0.5,0.15,0.04,0.033,0.767,0.035,0.339,0.544,103990.353,0.053,790,1.04,0.053,0.575
52,0.35,0.2,0.15,-0.023,0.033,-0.496,0.049,-1.009,-1.341,97745.186,0.044,864,0.977,0.044,0.421
53,0.35,0.3,0.15,-0.037,0.038,-0.699,0.064,-1.134,-1.572,96303.089,0.052,818,0.963,0.052,0.499
54,0.35,0.4,0.15,-0.008,0.037,-0.114,0.04,-0.535,-0.772,99250.418,0.054,774,0.993,0.054,0.519
55,0.35,0.5,0.15,0.031,0.037,0.561,0.034,0.157,0.242,103028.255,0.056,744,1.03,0.056,0.532
56,0.45,0.2,0.15,-0.046,0.038,-0.941,0.065,-1.412,-1.799,95474.204,0.048,838,0.955,0.048,0.391
57,0.45,0.3,0.15,-0.048,0.043,-0.83,0.074,-1.232,-1.628,95295.798,0.057,786,0.953,0.057,0.461
58,0.45,0.4,0.15,-0.025,0.043,-0.399,0.063,-0.792,-1.076,97575.276,0.058,740,0.976,0.058,0.489
59,0.45,0.5,0.15,0.016,0.042,0.297,0.046,-0.083,-0.119,101603.114,0.06,710,1.016,0.06,0.501
60,0.05,0.2,0.2,-0.012,0.012,-0.626,0.027,-1.861,-2.95,98844.107,0.018,694,0.988,0.018,0.695
61,0.05,0.3,0.2,-0.03,0.012,-1.56,0.039,-2.729,-4.354,97011.09,0.019,682,0.97,0.019,0.739
62,0.05,0.4,0.2,-0.023,0.012,-1.039,0.035,-2.081,-3.677,97748.934,0.022,670,0.977,0.022,0.743
63,0.05,0.5,0.2,-0.014,0.012,-0.529,0.032,-1.429,-2.917,98649.956,0.025,668,0.986,0.025,0.751
64,0.15,0.2,0.2,-0.0,0.02,0.014,0.032,-0.75,-1.114,99998.59,0.03,670,1.0,0.03,0.585
65,0.15,0.3,0.2,-0.022,0.023,-0.623,0.035,-1.283,-1.951,97829.914,0.035,652,0.978,0.035,0.663
66,0.15,0.4,0.2,-0.02,0.023,-0.505,0.034,-1.1,-1.826,98031.311,0.038,634,0.98,0.038,0.703
67,0.15,0.5,0.2,0.004,0.023,0.119,0.033,-0.424,-0.769,100408.371,0.042,622,1.004,0.042,0.717
68,0.25,0.2,0.2,-0.0,0.025,0.004,0.031,-0.646,-0.914,99952.463,0.035,648,1.0,0.035,0.488
69,0.25,0.3,0.2,-0.01,0.029,-0.231,0.031,-0.78,-1.13,98971.075,0.041,618,0.99,0.041,0.56
70,0.25,0.4,0.2,0.006,0.028,0.161,0.032,-0.343,-0.545,100624.217,0.045,596,1.006,0.045,0.594
71,0.25,0.5,0.2,0.038,0.028,0.777,0.034,0.311,0.537,103722.702,0.049,582,1.037,0.049,0.608
72,0.35,0.2,0.2,-0.015,0.029,-0.366,0.052,-0.952,-1.281,98526.526,0.039,638,0.985,0.039,0.448
73,0.35,0.3,0.2,-0.03,0.034,-0.63,0.057,-1.127,-1.539,97070.443,0.046,600,0.971,0.046,0.527
74,0.35,0.4,0.2,-0.01,0.033,-0.186,0.052,-0.648,-0.967,98972.714,0.049,580,0.99,0.049,0.559
75,0.35,0.5,0.2,0.019,0.033,0.386,0.048,-0.048,-0.076,101892.8,0.053,564,1.019,0.053,0.571
76,0.45,0.2,0.2,-0.048,0.036,-1.065,0.071,-1.572,-1.958,95272.071,0.045,628,0.953,0.045,0.417
77,0.45,0.3,0.2,-0.06,0.04,-1.168,0.076,-1.612,-2.055,94098.544,0.051,586,0.941,0.051,0.495
78,0.45,0.4,0.2,-0.039,0.04,-0.702,0.063,-1.117,-1.539,96102.36,0.055,564,0.961,0.055,0.532
79,0.45,0.5,0.2,-0.011,0.04,-0.156,0.056,-0.55,-0.804,98942.447,0.058,548,0.989,0.058,0.544
80,0.05,0.2,0.25,-0.021,0.009,-1.531,0.022,-3.191,-4.937,97926.704,0.014,488,0.979,0.014,0.664
81,0.05,0.3,0.25,-0.028,0.009,-1.896,0.03,-3.426,-5.676,97228.995,0.015,484,0.972,0.015,0.69
82,0.05,0.4,0.25,-0.015,0.009,-0.794,0.023,-2.037,-4.167,98551.245,0.018,480,0.986,0.018,0.692
83,0.05,0.5,0.25,-0.015,0.009,-0.778,0.022,-1.942,-4.195,98483.35,0.02,476,0.985,0.02,0.706
